source_id,suspicious_id,type,obfuscation,source_offset,source_length,suspicious_offset,suspicious_length
source-document00178.txt,suspicious-document00005,artificial,low,3835,1560,19254,1557
source-document06022.txt,suspicious-document00007,artificial,low,729730,2777,224,2807
source-document06022.txt,suspicious-document00007,artificial,low,134294,3307,3032,3313
source-document06022.txt,suspicious-document00007,artificial,low,1468563,2949,6515,2923
source-document06022.txt,suspicious-document00007,artificial,low,119312,510,9906,491
source-document06022.txt,suspicious-document00007,artificial,low,998771,758,10398,737
source-document06022.txt,suspicious-document00007,artificial,low,1019211,274,11136,276
source-document07440.txt,suspicious-document00010,artificial,high,55319,19482,2464,15786
source-document07440.txt,suspicious-document00010,artificial,high,29456,1502,22687,1418
source-document07440.txt,suspicious-document00010,artificial,high,108469,1789,24565,1840
source-document07440.txt,suspicious-document00010,artificial,high,101063,491,26752,495
source-document07440.txt,suspicious-document00010,artificial,high,11373,1506,27356,1575
source-document07440.txt,suspicious-document00010,artificial,high,28352,267,29331,276
source-document05720.txt,suspicious-document00011,artificial,low,144290,21840,38040,18546
source-document00374.txt,suspicious-document00011,artificial,low,86163,18309,101939,17023
source-document05843.txt,suspicious-document00011,artificial,low,6431,16571,158969,13398
source-document05720.txt,suspicious-document00011,artificial,low,97619,19530,227939,18685
source-document02977.txt,suspicious-document00011,artificial,low,253550,18921,356718,13964
source-document05843.txt,suspicious-document00011,artificial,low,739,1985,375471,2028
source-document00374.txt,suspicious-document00011,artificial,low,166102,24832,426670,24545
source-document00573.txt,suspicious-document00011,artificial,low,7399,3590,485930,3532
source-document05843.txt,suspicious-document00011,artificial,low,3812,767,494977,757
source-document02977.txt,suspicious-document00011,artificial,low,8863,802,498164,804
source-document03177.txt,suspicious-document00011,artificial,low,72326,1483,501737,1487
source-document02977.txt,suspicious-document00011,artificial,low,348902,499,507294,488
source-document07150.txt,suspicious-document00012,artificial,high,581852,19796,922,20454
source-document07150.txt,suspicious-document00012,artificial,high,388723,21196,21833,22326
source-document07150.txt,suspicious-document00012,artificial,high,461392,20016,45281,18886
source-document07150.txt,suspicious-document00012,artificial,high,267070,21257,65353,9465
source-document07150.txt,suspicious-document00012,artificial,high,120068,15962,76381,14830
source-document07150.txt,suspicious-document00012,artificial,high,201800,250,91212,240
source-document07150.txt,suspicious-document00012,artificial,high,548244,21203,92367,21994
source-document07150.txt,suspicious-document00012,artificial,high,165565,710,114606,741
source-document07150.txt,suspicious-document00012,artificial,high,199005,2506,115501,1788
source-document07150.txt,suspicious-document00012,artificial,high,183128,803,117490,812
source-document07150.txt,suspicious-document00012,artificial,high,151985,5062,118428,3807
source-document07150.txt,suspicious-document00012,artificial,high,36836,1436,122467,1328
source-document07150.txt,suspicious-document00012,artificial,high,453136,499,123873,497
source-document07150.txt,suspicious-document00012,artificial,high,340965,268,124371,255
source-document06087.txt,suspicious-document00014,artificial,low,34059,261,1385,254
source-document04449.txt,suspicious-document00014,artificial,low,3157,264,6709,277
source-document04449.txt,suspicious-document00014,artificial,low,2717,236,9615,235
source-document00853.txt,suspicious-document00015,artificial,high,31382,2663,6334,2661
source-document00853.txt,suspicious-document00015,artificial,high,2748,457,11404,460
source-document00853.txt,suspicious-document00015,artificial,high,35981,2441,14804,2421
source-document00853.txt,suspicious-document00015,artificial,high,50894,3502,24085,2510
source-document00853.txt,suspicious-document00015,artificial,high,43936,1798,36972,1468
source-document00853.txt,suspicious-document00015,artificial,high,8471,741,42858,805
source-document00853.txt,suspicious-document00015,artificial,high,9974,686,44866,674
source-document00853.txt,suspicious-document00015,artificial,high,30157,235,47231,237
source-document00853.txt,suspicious-document00015,artificial,high,25789,458,48583,450
source-document00853.txt,suspicious-document00015,artificial,high,26966,244,49719,238
source-document00853.txt,suspicious-document00015,artificial,high,1948,270,50633,267
source-document05707.txt,suspicious-document00016,artificial,low,31904,4586,74497,4412
source-document03164.txt,suspicious-document00020,artificial,low,246707,4006,273,4067
source-document03164.txt,suspicious-document00020,artificial,low,59473,1422,5714,1396
source-document03164.txt,suspicious-document00020,artificial,low,260046,262,7555,250
source-document06829.txt,suspicious-document00024,artificial,low,6222,22716,84867,22988
source-document06894.txt,suspicious-document00024,artificial,low,14650,2343,156584,2354
source-document06829.txt,suspicious-document00024,artificial,low,3845,537,169384,534
source-document11005.txt,suspicious-document00025,artificial,high,11064,2316,2424,2205
source-document07067.txt,suspicious-document00026,artificial,high,5189,2227,19715,2253
source-document07067.txt,suspicious-document00026,artificial,high,10165,229,23036,213
source-document08792.txt,suspicious-document00027,artificial,low,10104,498,1714,484
source-document08792.txt,suspicious-document00027,artificial,low,30214,522,4839,538
source-document08792.txt,suspicious-document00027,artificial,low,6788,250,7888,256
source-document08792.txt,suspicious-document00027,artificial,low,27730,255,9163,269
source-document08792.txt,suspicious-document00027,artificial,low,25793,1794,12791,1811
source-document08792.txt,suspicious-document00027,artificial,low,8431,229,21622,237
source-document04077.txt,suspicious-document00029,artificial,high,23205,2276,529,2203
source-document04077.txt,suspicious-document00029,artificial,high,67416,240,3377,244
source-document08605.txt,suspicious-document00032,simulated,,222038,230,12390,306
source-document07215.txt,suspicious-document00032,simulated,,3504,483,44814,311
source-document09079.txt,suspicious-document00032,simulated,,192138,521,57493,414
source-document05509.txt,suspicious-document00032,simulated,,79337,5037,62087,4365
source-document05098.txt,suspicious-document00032,simulated,,95672,3243,67452,3055
source-document10684.txt,suspicious-document00032,simulated,,58981,2552,70508,2665
source-document03833.txt,suspicious-document00033,artificial,high,17058,1742,7897,1899
source-document03317.txt,suspicious-document00034,artificial,low,5359,1707,213,1711
source-document00076.txt,suspicious-document00034,artificial,low,7496,488,1925,522
source-document03317.txt,suspicious-document00034,artificial,low,674,514,2448,516
source-document04997.txt,suspicious-document00036,artificial,high,24718,3634,17093,2652
source-document00214.txt,suspicious-document00036,artificial,high,159270,741,28085,748
source-document00214.txt,suspicious-document00036,artificial,high,172146,498,32926,516
source-document03254.txt,suspicious-document00037,artificial,low,82855,2515,257,2494
source-document03254.txt,suspicious-document00037,artificial,low,78079,699,3080,715
source-document03254.txt,suspicious-document00037,artificial,low,11373,16288,6625,16351
source-document03254.txt,suspicious-document00037,artificial,low,100541,17458,23509,17508
source-document03254.txt,suspicious-document00037,artificial,low,51378,4419,44078,4307
source-document03254.txt,suspicious-document00037,artificial,low,149462,17740,50099,12046
source-document03254.txt,suspicious-document00037,artificial,low,168560,2322,64093,2267
source-document03254.txt,suspicious-document00037,artificial,low,120825,14918,68383,11375
source-document03254.txt,suspicious-document00037,artificial,low,28886,21773,80994,16955
source-document04097.txt,suspicious-document00037,artificial,low,41546,23568,102074,23504
source-document02991.txt,suspicious-document00037,artificial,low,404,22703,132960,22524
source-document03254.txt,suspicious-document00037,artificial,low,141855,5013,156117,4908
source-document03254.txt,suspicious-document00037,artificial,low,95209,3565,161796,3527
source-document06744.txt,suspicious-document00037,artificial,low,516454,16945,168292,15786
source-document03254.txt,suspicious-document00037,artificial,low,5378,4671,184665,4458
source-document04097.txt,suspicious-document00037,artificial,low,65114,16475,190299,16194
source-document04097.txt,suspicious-document00037,artificial,low,24201,17345,210690,17316
source-document03905.txt,suspicious-document00037,artificial,low,127944,17203,230558,17074
source-document06744.txt,suspicious-document00037,artificial,low,389109,1476,249091,1394
source-document06744.txt,suspicious-document00037,artificial,low,281127,23207,251220,21429
